ticket_id,ticket_code,ticket_number,ticket_display,event_name,event_date,event_date_text,location,ticket_category,ticket_type,table_number,seat_number,guest_name,display_name,table_line,purchaser_name,purchaser_email,purchaser_phone,price,table_price,payment_status,bracelet_type,ticket_status,checked_in,checked_in_at,checked_in_by,scan_count,last_scanned_at,qr_payload,notes,print_file
AADS-TOC-20260725-VIP-T06-S06-036,AADS-TOC-20260725-VIP-T06-S06-036,VIP-036,TICKET 36/36,AADS Tournament of Champions Presented by Amherst PharmaChoice,2026-07-25,"Saturday, July 25, 2026","Club d'Age d'Or, Scoudouc, NB",VIP,PAID VIP,6,6,VIP Table 6 Guest 6,VIP Table 6 - Paid VIP Table,Paid VIP Table Package - $110 table,,,,18.33,110,UNPAID,VIP,ACTIVE,NO,,,0,,AADS-TOC-20260725-VIP-T06-S06-036,"Paid VIP Table 6: $110 table package, 6 seats",VIP_036.jpg
AADS-TOC-20260725-GA-001,AADS-TOC-20260725-GA-001,GA-001,TICKET 01/64,AADS Tournament of Champions Presented by Amherst PharmaChoice,2026-07-25,"Saturday, July 25, 2026","Club d'Age d'Or, Scoudouc, NB",GENERAL ADMISSION,GENERAL ADMISSION,,,General Admission Guest 001,General Admission Guest,,,,,10,,UNPAID,GENERAL ADMISSION,ACTIVE,NO,,,0,,AADS-TOC-20260725-GA-001,,GA_001.jpg
AADS-TOC-20260725-GA-002,AADS-TOC-20260725-GA-002,GA-002,TICKET 02/64,AADS Tournament of Champions Presented by Amherst PharmaChoice,2026-07-25,"Saturday, July 25, 2026","Club d'Age d'Or, Scoudouc, NB",GENERAL ADMISSION,GENERAL ADMISSION,,,General Admission Guest 002,General Admission Guest,,,,,10,,UNPAID,GENERAL ADMISSION,ACTIVE,NO,,,0,,AADS-TOC-20260725-GA-002,,GA_002.jpg
AADS-TOC-20260725-GA-003,AADS-TOC-20260725-GA-003,GA-003,TICKET 03/64,AADS Tournament of Champions Presented by Amherst PharmaChoice,2026-07-25,"Saturday, July 25, 2026","Club d'Age d'Or, Scoudouc, NB",GENERAL ADMISSION,GENERAL ADMISSION,,,General Admission Guest 003,General Admission Guest,,,,,10,,UNPAID,GENERAL ADMISSION,ACTIVE,NO,,,0,,AADS-TOC-20260725-GA-003,,GA_003.jpg
AADS-TOC-20260725-GA-004,AADS-TOC-20260725-GA-004,GA-004,TICKET 04/64,AADS Tournament of Champions Presented by Amherst PharmaChoice,2026-07-25,"Saturday, July 25, 2026","Club d'Age d'Or, Scoudouc, NB",GENERAL ADMISSION,GENERAL ADMISSION,,,General Admission Guest 004,General Admission Guest,,,,,10,,UNPAID,GENERAL ADMISSION,ACTIVE,NO,,,0,,AADS-TOC-20260725-GA-004,,GA_004.jpg
AADS-TOC-20260725-GA-005,AADS-TOC-20260725-GA-005,GA-005,TICKET 05/64,AADS Tournament of Champions Presented by Amherst PharmaChoice,2026-07-25,"Saturday, July 25, 2026","Club d'Age d'Or, Scoudouc, NB",GENERAL ADMISSION,GENERAL ADMISSION,,,General Admission Guest 005,General Admission Guest,,,,,10,,UNPAID,GENERAL ADMISSION,ACTIVE,NO,,,0,,AADS-TOC-20260725-GA-005,,GA_005.jpg
AADS-TOC-20260725-GA-006,AADS-TOC-20260725-GA-006,GA-006,TICKET 06/64,AADS Tournament of Champions Presented by Amherst PharmaChoice,2026-07-25,"Saturday, July 25, 2026","Club d'Age d'Or, Scoudouc, NB",GENERAL ADMISSION,GENERAL ADMISSION,,,General Admission Guest 006,General Admission Guest,,,,,10,,UNPAID,GENERAL ADMISSION,ACTIVE,NO,,,0,,AADS-TOC-20260725-GA-006,,GA_006.jpg
AADS-TOC-20260725-GA-007,AADS-TOC-20260725-GA-007,GA-007,TICKET 07/64,AADS Tournament of Champions Presented by Amherst PharmaChoice,2026-07-25,"Saturday, July 25, 2026","Club d'Age d'Or, Scoudouc, NB",GENERAL ADMISSION,GENERAL ADMISSION,,,General Admission Guest 007,General Admission Guest,,,,,10,,UNPAID,GENERAL ADMISSION,ACTIVE,NO,,,0,,AADS-TOC-20260725-GA-007,,GA_007.jpg
AADS-TOC-20260725-GA-008,AADS-TOC-20260725-GA-008,GA-008,TICKET 08/64,AADS Tournament of Champions Presented by Amherst PharmaChoice,2026-07-25,"Saturday, July 25, 2026","Club d'Age d'Or, Scoudouc, NB",GENERAL ADMISSION,GENERAL ADMISSION,,,General Admission Guest 008,General Admission Guest,,,,,10,,UNPAID,GENERAL ADMISSION,ACTIVE,NO,,,0,,AADS-TOC-20260725-GA-008,,GA_008.jpg
AADS-TOC-20260725-GA-009,AADS-TOC-20260725-GA-009,GA-009,TICKET 09/64,AADS Tournament of Champions Presented by Amherst PharmaChoice,2026-07-25,"Saturday, July 25, 2026","Club d'Age d'Or, Scoudouc, NB",GENERAL ADMISSION,GENERAL ADMISSION,,,General Admission Guest 009,General Admission Guest,,,,,10,,UNPAID,GENERAL ADMISSION,ACTIVE,NO,,,0,,AADS-TOC-20260725-GA-009,,GA_009.jpg
